10075	화학	149.00	0.27	11.41	2.95	5420	004840	DRB동일
10076	비금속	-185.00	0.56	-4.02	-13.15	743	004870	티웨이홀딩스
10077	금속	335.00	0.25	7.49	0.77	45000	004890	동일산업
10078	화학	87.00	0.36	4.51	2.36	5630	004910	조광페인트
10079	전기·전자	6.00	1.13	-615.50	2.05	1231	004920	씨아이테크
10080	건설	343.00	0.13	14.23	2.05	8440	004960	한신공영
10081		67.00	0.27	4.17	0.72	10330	004970	신라교역
10082	비금속	-367.00	0.42	5.35	-6.62	9570	004980	성신양회
10083	금융	-1038.00	0.37	-3.00	-7.10	28900	004990	롯데지주
10084	금속	-43.00	0.24	12.02	-0.87	4770	005010	휴스틸
10085	운송장비·부품	-7.00	2.39	-69.43	-3.75	486	005030	부산주공
10086	화학	543.00	2.52	70.63	3.62	38350	005070	코스모신소재
10087	전기·가스	-193.00	0.49	5.71	-1.49	25750	005090	SGC에너지
10088	유통	125.00	-2.33	-1.43	0.00	1254	005110	한창
10089	금속	60.00	0.54	-34.48	3.41	4000	005160	동국산업
10090	음식료·담배	1175.00	1.19	8.60	6.50	90150	005180	빙그레
10091	일반서비스	59.00	0.82	34.47	1.20	16720	005250	녹십자홀딩스
10092	화학	729.00	1.70	10.95	14.85	32950	005290	동진쎄미켐
10093	음식료·담배	697.00	0.88	22.24	1.89	130700	005300	롯데칠성
10094	유통	4.00	0.49	-15.36	0.99	768	005320	온타이드
10095	유통	-128.00	0.44	-7.51	-10.70	2110	005360	모나미
10096	운송장비·부품	11632.00	0.53	4.65	11.52	214000	005380	현대차
10097	유통	183.00	1.21	7.95	7.02	4080	005390	신성통상
10098	화학	-51.00	2.70	-9.57	-3.44	16110	005420	코스모화학
10099	운송·창고	3615.00	0.46	4.20	12.21	53800	005430	한국공항
10100	금융	1110.00	0.41	1.96	20.07	8780	005440	현대지에프홀딩스
10101	금속	3660.00	0.45	23.83	2.18	311500	005490	POSCO홀딩스
10102	제약	2823.00	0.92	6.89	14.89	19460	005500	삼진제약
10103	음식료·담배	1125.00	0.93	5.72	8.14	57300	005610	SPC삼립
10104	음식료·담배	178.00	0.55	7.79	7.14	5690	005670	푸드웰
10105	전기·전자	229.00	0.42	20.34	3.46	11290	005680	삼영전자
10106	제약	105.00	7.95	109.14	7.59	11460	005690	파미셀
10107	운송장비·부품	1250.00	0.45	3.14	19.17	11380	005710	대원산업
10108	화학	408.00	0.29	4.28	7.31	6440	005720	넥센
10109	금융	448.00	0.41	5.76	8.23	8880	005740	크라운해태홀딩스
10110	비금속	154.00	0.49	13.98	6.66	4500	005750	대림바스
10111	섬유·의류	222.00	0.32	30.18	2.16	13100	005800	신영와코루
10112	금융	1141.00	0.64	7.26	5.96	50000	005810	풍산홀딩스
10113	섬유·의류	360.00	0.30	9.17	2.68	16100	005820	원림
10114	보험	6085.00	0.92	4.70	19.86	122800	005830	DB손해보험
10115	운송장비·부품	2151.00	0.66	4.14	17.22	32850	005850	에스엘
10116	음식료·담배	18.00	0.96	40.43	1.81	3800	005860	한일사료
10117	전기·전자	761.00	0.70	11.75	6.45	8940	005870	휴니드
10118	운송·창고	210.00	0.27	3.37	13.15	1708	005880	대한해운
10119	전기·전자	1186.00	1.08	12.66	8.16	62650	005930	삼성전자
10120	증권	601.00	0.86	10.27	10.35	20300	005940	NH투자증권
10121	화학	-332.00	1.25	-3.06	-29.96	6380	005950	이수화학
10122	건설	739.00	0.27	-1.17	14.84	5380	005960	동부건설
10123	음식료·담배	217.00	0.36	6.28	2.96	11080	005990	매일홀딩스
10124	금융	1652.00	0.73	29.68	9.32	51400	006040	동원산업
10125	비금속	74.00	0.90	18.11	5.17	1340	006050	국영지앤엠
10126	유통	92.00	0.72	7.05	5.82	4985	006060	화승인더
10127	음식료·담배	1342.00	0.44	8.07	5.61	10830	006090	사조오양
10128	금속	-266.00	1.14	-29.80	-6.47	18950	006110	삼아알미늄
10129	금융	2311.00	0.43	48.56	6.56	60600	006120	SK디스커버리
10130	의료·정밀기기	615.00	0.69	10.02	7.15	6160	006140	피제이전자
10131	금융	49.00	0.24	7.40	6.19	777	006200	한국전자홀딩스
10132	금융	90.00	0.74	42.04	1.97	13620	006220	제주은행
10133	금융	2701.00	1.27	25.04	7.34	184600	006260	LS
10134	제약	2541.00	1.22	-59.80	9.49	134500	006280	녹십자
10135	전기·전자	63.00	2.11	35.17	16.77	3095	006340	대원전선
10136	건설	331.00	0.41	7.37	2.55	21150	006360	GS건설
10137	유통	-767.00	0.36	-2.31	-20.40	6670	006370	대구백화점
10138	화학	287.00	7.01	12.75	102.36	3660	006380	카프로
10139	비금속	3107.00	0.88	6.31	14.60	19600	006390	한일현대시멘트
10140	전기·전자	-3057.00	0.66	22.31	-4.48	185300	006400	삼성SDI
10141	통신	-166.00	3.57	59.24	-208.85	1481	006490	인스코비
10142	금속	-171.00	0.72	-3.90	-18.29	2790	006570	대림통상
10143	제약	-24.00	1.28	72.22	-2.63	5200	006620	동구바이오제약
10144	화학	457.00	0.33	-70.66	0.66	92700	006650	대한유화
10145	운송장비·부품	107.00	0.41	8.06	1.25	14330	006660	삼성공조
10146	일반서비스	-49.00	0.62	18.52	-1.30	9520	006730	서부T&D
10147	종이·목재	-88.00	0.55	-2.33	-19.01	1078	006740	영풍제지
10148	증권	353.00	1.26	17.37	8.53	21350	006800	미래에셋증권
10149	금융	226.00	0.30	-5.52	2.27	12130	006840	AK홀딩스
10150	유통	73.00	0.88	17.82	3.29	8180	006880	신송홀딩스
10151	화학	193.00	0.82	10.71	5.49	11650	006890	태경케미컬
10152	금속	121.00	1.79	27.23	6.80	3295	006910	보성파워텍
10153	비금속	-90.00	1.00	58.11	-12.27	3080	006920	모헨즈
10154	음식료·담배	273.00	0.26	2.72	1.69	17340	006980	우성
10155	유통	80.00	0.45	692.60	0.84	17315	007070	GS리테일
10156	유통	18.00	3.10	131.94	2.45	2375	007110	일신석재
10157	IT 서비스	-284.00	0.54	-3.58	-14.73	1017	007120	미래아이앤지
10158	음식료·담배	2459.00	0.56	66.31	8.85	61400	007160	사조산업
10159	비금속	-27.00	0.51	9.54	-2.67	2280	007210	벽산
10160	금속	-48.00	0.48	-36.60	-1.30	1757	007280	한국특강
10161	음식료·담배	8358.00	0.68	11.93	6.54	407000	007310	오뚜기
10162	금융	522.00	0.44	18.16	2.50	9480	007330	푸른저축은행
10163	전기·전자	1299.00	0.78	4.38	17.25	23600	007340	DN오토모티브
10164	제약	2347.00	0.65	2.76	28.47	6480	007370	진양제약
10165	제약	-19.00	27.84	1471.05	-7.74	27950	007390	네이처셀
10166	금속	-47.00	0.80	-3.55	-38.49	678	007460	에이프로젠
10167	금속	30.00	1.07	10.04	4.76	2710	007530	와이엠
10168	금융	318.00	0.58	20.45	1.78	46700	007540	샘표
10169	제약	181.00	1.08	26.15	5.94	13730	007570	일양약품
10170	화학	1119.00	0.50	8.74	35.58	6270	007590	동방아그로
10171	전기·전자	-168.00	1.67	5.51	-41.60	3000	007610	선도전기
10172	전기·전자	593.00	10.38	45.94	44.80	52600	007660	이수페타시스
10173	건설	35.00	0.22	22.67	0.65	4760	007680	대원
10174	화학	614.00	0.39	38.90	2.71	37150	007690	국도화학
10175	금융	689.00	0.37	7.75	4.87	21200	007700	F&F홀딩스
10176	유통	-16.00	0.92	-9.09	-6.65	918	007720	소노스퀘어
10177	화학	-413.00	0.31	6.71	-5.42	9540	007770	한일화학
10178	전기·전자	41.00	0.83	-2.50	1.23	11480	007810	코리아써키트
10179	기계·장비	93.00	1.23	6.79	12.27	3870	007820	에스엠코어
10180	금융	575.00	0.32	1.95	6.53	11140	007860	서연
10181	섬유·의류	169.00	0.31	3.45	14.26	1496	007980	TP
10182	음식료·담배	172.00	0.61	6.84	9.45	1177	008040	사조동아원
10183	금융	-45.00	0.46	12.47	-1.04	8030	008060	대덕
10184	전기·전자	1169.00	0.57	12.87	4.92	15040	008110	대동전자
10185	종이·목재	-105.00	0.31	-32.90	-2.30	5790	008250	이건산업
10186	금속	899.00	0.43	4.24	10.53	3810	008260	NI스틸
10187	섬유·의류	-89.00	0.99	-5.46	-23.77	486	008290	원풍물산
10188	금속	51.00	0.53	-5.93	8.73	1228	008350	남선알미늄
10189	화학	229.00	0.54	7.43	11.99	4400	008370	원풍
10190	금속	323.00	0.26	7.59	3.58	2450	008420	문배철강
10191	금속	49.00	0.43	20.20	2.12	4060	008470	부스타
10192	화학	512.00	0.51	12.97	5.20	20500	008490	서흥
10193	섬유·의류	10102.00	2.40	4.50	397.89	12800	008500	일정실업
10194	유통	-53.00	0.35	-1.14	-16.64	464	008600	윌비스
10195	전기·전자	27.00	0.89	12.33	6.26	1516	008700	아남전자
10196	화학	348.00	2.77	-94.62	11.80	32550	008730	율촌화학
10197	유통	-155.00	1.49	-33.68	-1.93	51800	008770	호텔신라
10198	기계·장비	130.00	1.88	137.69	1.35	17900	008830	대동기어
10199	비금속	360.00	0.69	16.25	0.89	58300	008870	금비
10200	금융	366.00	3.44	49.77	11.86	43000	008930	한미사이언스
10201	금속	-8.00	2.28	-12.57	-4.46	1571	008970	동양철관
10202	운송·창고	135.00	0.55	6.37	5.48	5460	009070	KCTC
10203	전기·전자	-392.00	0.40	12.64	-3.25	20600	009140	경인전자
10204	전기·전자	1723.00	1.23	16.16	6.08	141400	009150	삼성전기
10205	금속	59.00	0.50	11.79	2.57	4950	009160	SIMPAC
10206	운송·창고	153.00	0.58	8.65	13.26	2680	009180	한솔로지스틱스
10207	금속	-277.00	1.04	-6.14	-16.25	1700	009190	대양금속
10208	종이·목재	43.00	0.20	2.25	1.60	2197	009200	무림페이퍼
10209	유통	408.00	1.71	7.01	10.80	45050	009240	한샘
10210	섬유·의류	-13.00	0.67	28.89	-2.34	1762	009270	신원
10211	제약	72.00	0.49	7.75	2.59	5980	009290	광동제약
10212	제약	986.00	0.51	5.13	11.39	17770	009300	삼아제약
10213	기계·장비	-387.00	0.37	-1.01	-44.88	1371	009310	참엔지니어링
10214	운송장비·부품	12.00	1.72	53.05	8.05	1008	009320	아진전자부품
10215	건설	-126.00	1.62	12.52	-29.47	2880	009410	태영건설
10216	제약	-4.00	7.48	-740.00	-0.51	25900	009420	한올바이오파마
10217	금융	-31.00	0.11	0.48	-1.88	756	009440	KC그린홀딩스
10218	전기·전자	2588.00	1.56	8.75	21.29	74700	009450	경동나비엔
10219	종이·목재	44.00	0.47	16.89	2.85	743	009460	한창제지
10220	전기·전자	144.00	2.28	10.16	4.40	30150	009470	삼화전기
10221	금속	14.00	4.45	854.29	0.50	11960	009520	포스코엠텍
10222	금융	7000.00	2.09	19.83	17.64	328500	009540	HD한국조선해양
